county                                       u5   seats  per100  provs desert
thomas (31)                                   6      12   200.0      1 
mcpherson (31)                               12       0     0.0      0 DESERT
king (48)                                    16       0     0.0      0 DESERT
cimarron (40)                                16      40   250.0      1 
kent (48)                                    17       0     0.0      0 DESERT
arthur (31)                                  23       0     0.0      0 DESERT
mineral (08)                                 25      63   252.0      2 
loup (31)                                    25      12    48.0      1 
hooker (31)                                  26      31   119.2      3 
highland (51)                                27       0     0.0      0 DESERT
blaine (31)                                  29       0     0.0      0 DESERT
banner (31)                                  35       0     0.0      0 DESERT
grant (31)                                   35      16    45.7      1 
crockett (48)                                36     148   411.1      4 
roberts (48)                                 36       0     0.0      0 DESERT
san juan (08)                                37      45   121.6      1 
edwards (48)                                 37       0     0.0      0 DESERT
hinsdale (08)                                38     205   539.5      3 
forest (42)                                  38       0     0.0      3 DESERT
motley (48)                                  39       0     0.0      0 DESERT
jackson (08)                                 40      15    37.5      1 
foard (48)                                   42      83   197.6      1 
logan (31)                                   44       0     0.0      0 DESERT
hayes (31)                                   52       0     0.0      0 DESERT
wheeler (31)                                 53      36    67.9      3 
keya paha (31)                               56       0     0.0      0 DESERT
rock (31)                                    57      42    73.7      4 
kiowa (08)                                   58      41    70.7      2 
borden (48)                                  59       0     0.0      0 DESERT
harmon (40)                                  60      56    93.3      4 
glasscock (48)                               66      37    56.1      1 
kinney (48)                                  66      23    34.8      1 
stonewall (48)                               66      44    66.7      1 
grant (40)                                   67      52    77.6      4 
alpine (06)                                  68      50    73.5      2 
sioux (31)                                   70       0     0.0      0 DESERT
irion (48)                                   70       0     0.0      0 DESERT
lake of the woods (27)                       77     136   176.6     12 
boyd (31)                                    78      12    15.4      1 DESERT
briscoe (48)                                 82       0     0.0      0 DESERT
surry (51)                                   82      12    14.6      1 DESERT
garden (31)                                  83      84   101.2      3 
gosper (31)                                  84      85   101.2      6 
menard (48)                                  84      28    33.3      1 
real (48)                                    85      38    44.7      1 
bath (51)                                    86      15    17.4      1 DESERT
cottle (48)                                  88       0     0.0      0 DESERT
cheyenne (08)                                89      83    93.3      5 
roger mills (40)                             89      58    65.2      4 
ouray (08)                                   94     139   147.9      6 
cook (27)                                    94     112   119.1      9 
mcmullen (48)                                95       0     0.0      0 DESERT
kittson (27)                                 96     171   178.1     14 
concho (48)                                  97       0     0.0      0 DESERT
hudspeth (48)                                97      63    64.9      3 
alfalfa (40)                                 97      21    21.6      3 DESERT
garfield (53)                                98       0     0.0      0 DESERT
ellis (40)                                   98      21    21.4      3 DESERT
custer (08)                                 100     377   377.0      4 
mills (48)                                  101      68    67.3      1 
charles city (51)                           101       0     0.0      0 DESERT
throckmorton (48)                           102       0     0.0      0 DESERT
armstrong (48)                              106      90    84.9      3 
upton (48)                                  106      20    18.9      1 DESERT
donley (48)                                 107      48    44.9      4 
garfield (31)                               108      98    90.7      5 
dickens (48)                                108       0     0.0      0 DESERT
deuel (31)                                  109      64    58.7      3 
essex (50)                                  111     143   128.8     10 
red lake (27)                               112     150   133.9     14 
dewey (40)                                  116      28    24.1      4 DESERT
sterling (48)                               118      44    37.3      1 
frontier (31)                               119      55    46.2      2 
hemphill (48)                               119     196   164.7      2 
harper (40)                                 120      37    30.8      3 DESERT
lexington city (51)                         121       0     0.0      0 DESERT
cotton (40)                                 123     119    96.7      6 
bland (51)                                  124       0     0.0      0 DESERT
king and queen (51)                         124       0     0.0      0 DESERT
culberson (48)                              125     118    94.4      2 
middlesex (51)                              126      88    69.8      5 
lancaster (51)                              127      52    40.9      3 
greeley (31)                                128      82    64.1      7 
traverse (27)                               128     104    81.2     11 
dundy (31)                                  131      58    44.3      5 
hamilton (36)                               133      48    36.1      3 
jeff davis (48)                             133       0     0.0      0 DESERT
dolores (08)                                135      41    30.4      2 DESERT
greer (40)                                  135     163   120.7      4 
emporia city (51)                           136       0     0.0      0 DESERT
rappahannock (51)                           137       0     0.0      0 DESERT
la salle (48)                               139       0     0.0      0 DESERT
perkins (31)                                140      79    56.4      4 
mathews (51)                                143      10     7.0      1 DESERT
hall (48)                                   144      12     8.3      1 DESERT
beaver (40)                                 144      21    14.6      3 DESERT
hitchcock (31)                              145      12     8.3      1 DESERT
crowley (08)                                148      74    50.0      1 
franklin (31)                               148      34    23.0      3 DESERT
grand isle (50)                             148     332   224.3     12 
wilkin (27)                                 148     202   136.5     21 
baylor (48)                                 150     115    76.7      3 
sullivan (42)                               151      62    41.1      2 
coke (48)                                   151       0     0.0      0 DESERT
shackelford (48)                            152       3     2.0      1 DESERT
craig (51)                                  154       0     0.0      0 DESERT
big stone (27)                              156     184   117.9     21 
norton city (51)                            156       0     0.0      0 DESERT
knox (48)                                   161     123    76.4      6 
columbia (53)                               162      40    24.7      1 DESERT
jefferson (40)                              162     109    67.3      5 
sherman (31)                                163      91    55.8      5 
lac qui parle (27)                          164     293   178.7     22 
harlan (31)                                 166      80    48.2      1 
brown (31)                                  170     114    67.1      7 
webster (31)                                170     188   110.6      5 
lincoln (27)                                171     194   113.5     22 
wahkiakum (53)                              172      56    32.6      1 DESERT
cameron (42)                                173      72    41.6      4 
garza (48)                                  173      72    41.6      2 
brooks (48)                                 174     345   198.3      6 
norman (27)                                 174     208   119.5     17 
baca (08)                                   176     100    56.8      5 
costilla (08)                               177     112    63.3      4 
sedgwick (08)                               177      60    33.9      2 
pawnee (31)                                 178      65    36.5      3 
nance (31)                                  179     153    85.5     11 
